wals code,name,latitude,longitude,genus,family,subfamily,iso codes
bik,Biak,-1.0,136.0,South Halmahera - West New Guinea,Austronesian,Eastern Malayo-Polynesian,bhw
bil,Bilua,-7.75,156.666666667,Bilua,Solomons East Papuan,,blb
bim,Bima,-8.5,118.5,Central Malayo-Polynesian,Austronesian,,bhp
bin,Binandere,-8.25,148.0,Binanderean,Trans-New Guinea,,bhg
bio,Nai,-3.71666666667,141.266666667,Kwomtari,Kwomtari-Baibai,,bio
biq,Bilaan,6.0,125.333333333,South Mindanao,Austronesian,,smk bps
bir,Birom,9.66666666667,8.83333333333,Platoid,Niger-Congo,Benue-Congo,bom
bis,Bisa,11.5,-0.5,Eastern Mande,Niger-Congo,Mande,bib
bit,Biatah,1.25,110.0,Land Dayak,Austronesian,,bth
biu,Bisu,19.75,100.0,Burmese-Lolo,Sino-Tibetan,Tibeto-Burman,lwm bzi
bjs,Bajau (Semporna),4.5,118.5,Sama-Bajaw,Austronesian,,ssb
bka,Baka (in Sudan),4.83333333333,29.25,Bongo-Bagirmi,Nilo-Saharan,Central Sudanic,bdh
bkb,Betta Kurumba,11.5,76.75,Southern Dravidian,Dravidian,,xub
bkd,Binukid,8.25,124.833333333,Southern Philippines,Austronesian,,bkd
bki,Bakairí,-14.0,-55.0,Cariban,Cariban,,bkq
bkl,Bikol,13.3333333333,123.5,Meso-Philippine,Austronesian,,bcl
bkn,Bakundu,4.83333333333,9.33333333333,Bantoid,Niger-Congo,Benue-Congo,bdu
bkr,Batak (Karo),3.25,98.25,Sumatra,Austronesian,,btx
bkt,Brokskat,35.3333333333,76.5,Indic,Indo-European,,bkk
bku,Bakueri,4.25,9.25,Bantoid,Niger-Congo,Benue-Congo,bri
bla,Blackfoot,50.0,-112.666666667,Algonquian,Algic,,bla
blc,Baluchi,28.0,62.0,Iranian,Indo-European,,bgp
ble,Baule,7.0,-5.0,Kwa,Niger-Congo,,bci
blg,Balangao,17.1666666667,121.166666667,Northern Philippines,Austronesian,,blw
blj,Baale,6.5,34.5,Surmic,Nilo-Saharan,Eastern Sudanic,koe
blk,Balantak,-0.833333333333,123.25,Sulawesi,Austronesian,,blz
bln,Bilin,15.75,38.5,Central Cushitic,Afro-Asiatic,Cushitic,byn
blq,Bole,11.3333333333,11.25,West Chadic,Afro-Asiatic,Chadic,bol
blr,Belorussian,54.0,28.0,Slavic,Indo-European,,bel
blt,Balti,35.0,76.0,Bodic,Sino-Tibetan,Tibeto-Burman,bft
blu,Bena-Lulua,-6.0,21.0,Bantoid,Niger-Congo,Benue-Congo,lua
blx,Biloxi,30.5,-88.6666666667,Siouan,Siouan,,bll
bly,Balyku,-22.0,120.0,Pama-Nyungan,Australian,,nad
blz,Balanta,12.25,-15.3333333333,Northern Atlantic,Niger-Congo,Atlantic,ble bjt
bma,Berber (Middle Atlas),33.0,-5.0,Berber,Afro-Asiatic,,tzm
