auth, geo, gen, feat
8.110921, 0.179785, 0.375393, 0.357143
7.092222, 0.137841, 0.097333, 0.071429
7.092222, 0.080396, 0.097333, 0.071429
7.130515, 0.025765, 0.097333, 0.500000
7.870936, 0.291224, 0.203860, 0.357143
7.960407, 0.644666, 0.346698, 0.214286
7.092222, 0.272321, 0.097333, 0.214286
7.092222, 0.139000, 0.097333, 0.071429
6.618880, 0.050255, 0.011388, 0.071429
7.092222, 0.121237, 0.097333, 0.357143
7.092222, 0.080071, 0.097333, 0.071429
7.560493, 0.193427, 0.117005, 0.142857
7.092222, 0.157005, 0.086935, 0.071429
7.870936, 0.331124, 0.346698, 0.071429
8.110921, 0.178182, 0.346698, 0.071429
7.092222, 0.130903, 0.097333, 0.357143
7.960407, 0.227795, 0.392730, 0.071429
6.618880, 0.028675, 0.011388, 0.357143
7.092222, 0.155067, 0.086935, 0.142857
7.336960, 0.097976, 0.151468, 0.500000
7.183610, 0.043826, 0.055864, 0.214286
8.110921, 0.220274, 0.375393, 0.357143
7.659037, 0.111138, 0.203860, 0.357143
7.092222, 0.610065, 0.097333, 0.214286
6.029488, 0.014687, 0.011388, 0.357143
7.658987, 0.338135, 0.297012, 0.071429
7.870936, 0.285873, 0.346698, 0.071429
7.092222, 0.357914, 0.097333, 0.214286
6.618880, 0.058297, 0.011388, 0.214286
7.092222, 0.171218, 0.097333, 0.357143
7.092222, 0.111074, 0.070461, 0.500000
7.130515, 0.025511, 0.086935, 0.357143
7.870936, 0.249495, 0.346698, 0.071429
8.110921, 0.189781, 0.392730, 0.500000
6.677996, 0.014346, 0.043923, 0.214286
7.183610, 0.048211, 0.055864, 0.214286
7.092222, 0.144402, 0.086935, 0.214286
7.183610, 0.048777, 0.055864, 0.500000
7.092222, 0.375847, 0.097333, 0.214286
6.782807, 0.018561, 0.017723, 0.071429
7.183610, 0.017234, 0.017723, 0.071429
7.336960, 0.093566, 0.161132, 0.500000
7.183610, 0.025270, 0.055864, 0.500000
7.870893, 0.282863, 0.375393, 0.357143
6.898167, 0.071324, 0.097333, 0.071429
7.092222, 0.065948, 0.097333, 0.071429
7.092222, 0.135046, 0.097333, 0.428571
8.110921, 0.225458, 0.403493, 0.357143
7.092222, 0.151443, 0.086935, 0.500000
7.092222, 0.156155, 0.097333, 0.071429
7.720532, 0.180152, 0.346698, 0.500000
7.560493, 0.197208, 0.117005, 0.357143
6.618880, 0.026338, 0.011388, 0.071429
7.092222, 0.134124, 0.097333, 0.357143
7.183610, 0.048476, 0.055864, 0.428571
5.040725, 0.007263, 0.000000, 0.357143
8.110921, 0.222975, 0.403493, 0.214286
7.481927, 0.153976, 0.215456, 0.428571
7.481948, 0.141274, 0.259283, 0.571429
7.560493, 0.178093, 0.117005, 0.571429
6.618880, 0.036362, 0.011388, 0.142857
7.092222, 0.143418, 0.097333, 0.571429
7.092222, 0.150933, 0.086935, 0.357143
7.481948, 0.138668, 0.259283, 0.428571
6.618880, 0.053885, 0.011388, 0.000000
7.092222, 0.434111, 0.097333, 0.142857
7.960407, 0.225229, 0.375393, 0.285714
7.183610, 0.037336, 0.055864, 0.000000
7.092222, 0.151984, 0.086935, 0.285714
8.110921, 0.176127, 0.375393, 0.285714
7.092222, 0.141343, 0.097333, 0.000000
7.092222, 0.081570, 0.097333, 0.142857
7.130515, 0.022186, 0.097333, 0.428571
7.870936, 0.287988, 0.203860, 0.285714
7.960407, 0.642069, 0.346698, 0.142857
7.092222, 0.275192, 0.097333, 0.142857
7.092222, 0.142030, 0.097333, 0.000000
6.618880, 0.053745, 0.011388, 0.000000
7.092222, 0.124835, 0.097333, 0.357143
