auth, geo, gen, feat
7.481927, 0.177076, 0.266037, 0.460000
7.481927, 0.264816, 0.266037, 0.520000
7.481874, 0.063885, 0.266037, 0.460000
7.481927, 0.144177, 0.266037, 0.420000
8.110785, 0.147449, 0.434008, 0.520000
7.658901, 0.174411, 0.228854, 0.540000
7.481927, 0.727149, 0.266037, 0.460000
7.481927, 0.164859, 0.266037, 0.540000
7.658851, 0.190164, 0.337032, 0.520000
7.870800, 0.139000, 0.397314, 0.520000
7.481927, 0.511166, 0.266037, 0.520000
7.481927, 0.201914, 0.266037, 0.520000
7.481927, 0.312875, 0.266037, 0.420000
7.481927, 0.249776, 0.266037, 0.400000
7.481921, 0.133224, 0.266037, 0.500000
7.870800, 0.111008, 0.397314, 0.520000
8.110785, 0.112862, 0.434008, 0.480000
7.481927, 0.148747, 0.266037, 0.520000
7.481927, 0.150010, 0.266037, 0.440000
7.481927, 0.255200, 0.266037, 0.520000
7.481927, 0.109005, 0.266037, 0.400000
7.481927, 0.514150, 0.266037, 0.480000
7.481927, 0.141053, 0.266037, 0.440000
7.481927, 0.149616, 0.266037, 0.520000
7.481874, 0.071485, 0.266037, 0.400000
7.481927, 0.136034, 0.266037, 0.420000
7.870757, 0.165677, 0.434008, 0.480000
7.481927, 0.213416, 0.266037, 0.480000
7.481927, 0.170512, 0.266037, 0.460000
7.481927, 0.260837, 0.266037, 0.420000
8.110785, 0.164555, 0.434008, 0.580000
7.481927, 0.269511, 0.266037, 0.400000
7.481927, 0.275255, 0.266037, 0.480000
7.720396, 0.028643, 0.397314, 0.500000
7.560357, 0.040295, 0.140283, 0.500000
7.481927, 0.174877, 0.266037, 0.480000
7.481927, 0.260483, 0.266037, 0.400000
7.481927, 0.126469, 0.266037, 0.500000
7.481927, 0.150843, 0.266037, 0.460000
7.560378, 0.047364, 0.140283, 0.386667
7.481948, 0.170213, 0.340059, 0.566667
7.481948, 0.263186, 0.346650, 0.480000
7.481948, 0.269584, 0.316838, 0.520000
3.047418, 0.003056, 0.071190, 0.300000
7.481948, 0.185465, 0.346650, 0.560000
7.481948, 0.573512, 0.346650, 0.580000
7.960292, 0.084096, 0.434008, 0.480000
7.481948, 0.104917, 0.340059, 0.606667
7.481948, 0.270358, 0.316838, 0.540000
8.110807, 0.080166, 0.434008, 0.580000
7.481948, 0.263235, 0.340059, 0.480000
7.481948, 0.206613, 0.346650, 0.506667
7.481942, 0.119642, 0.330589, 0.346667
7.870821, 0.147067, 0.228854, 0.520000
7.960292, 0.508896, 0.397314, 0.600000
7.481948, 0.357048, 0.346650, 0.600000
7.481948, 0.282425, 0.340059, 0.580000
7.481948, 0.184592, 0.346650, 0.600000
7.481948, 0.252974, 0.340059, 0.600000
7.481948, 0.117110, 0.346650, 0.580000
7.560378, 0.058784, 0.140283, 0.540000
